"net_tfa","age","inc","fsize","educ","db","marr","twoearn","e401","p401","pira","hown"
25000,40,70650,4,15,1,1,1,0,0,1,1
51740,38,50016,3,18,0,1,1,0,0,1,1
500,30,9180,4,12,0,1,0,1,0,0,0
-1900,31,22011,7,9,0,1,0,0,0,0,1
6444,43,30318,1,13,1,0,0,1,0,0,1
-1078,30,13350,4,12,0,1,0,0,0,0,1
0,32,12750,1,10,0,0,0,0,0,0,0
0,53,7113,5,12,0,1,1,0,0,0,0
19431,38,56028,4,14,1,1,1,1,1,0,1
10,26,8049,5,9,0,0,0,0,0,0,0
725,34,53556,4,14,1,1,1,1,1,0,1
5480,29,42771,1,15,1,0,0,1,1,0,0
171850,47,62553,6,12,0,1,0,1,1,1,1
86432,45,91575,1,18,1,0,0,1,1,1,1
39100,39,77493,2,14,1,1,1,1,1,1,0
-300,30,39636,4,12,1,1,1,1,1,0,1
5855,59,26664,1,12,1,0,0,0,0,0,1
24745,52,28233,3,12,0,1,0,1,1,1,1
-101436,31,42555,3,13,0,1,1,0,0,0,0
-4245,26,33363,4,12,0,1,1,1,1,0,1
500,45,20430,4,12,0,0,0,0,0,0,1
12726,38,85092,4,13,0,1,1,0,0,0,1
4999,50,51234,2,9,1,1,1,1,0,1,1
62769,46,75687,3,12,1,1,1,1,1,0,1
0,27,20100,3,1,0,0,0,0,0,0,0
-4000,52,20070,2,8,0,1,1,0,0,0,0
640,27,19143,2,12,0,0,0,1,1,0,0
-1700,58,29724,3,12,1,1,1,0,0,0,1
800,30,16872,4,11,0,1,0,0,0,0,0
-6300,33,11238,1,16,0,0,0,0,0,0,1
7210,32,34452,3,13,0,1,1,0,0,0,1
300,52,32388,2,12,0,1,0,0,0,0,1
4232,47,30075,3,12,0,1,0,0,0,1,1
66000,53,22434,2,14,0,0,0,0,0,1,1
0,38,24795,3,14,0,1,0,0,0,0,1
6778,43,54840,4,16,0,1,1,1,1,0,1
-8000,47,39432,5,12,1,1,1,0,0,0,1
350,47,17562,1,14,0,0,0,1,1,0,1
-1000,44,22410,3,13,1,0,0,0,0,0,0
-991,34,42429,2,13,1,1,1,0,0,1,1
6749,47,32649,3,14,0,1,1,0,0,1,1
0,33,17760,11,6,0,1,0,0,0,0,0
0,53,18696,6,11,0,0,0,0,0,0,1
16800,55,28893,4,13,0,1,1,0,0,0,0
54303,60,41118,1,15,0,0,0,0,0,1,1
-655,33,25356,4,1,1,1,1,0,0,0,1
1965,27,40209,1,14,0,0,0,0,0,0,0
-7700,37,56346,4,14,0,1,1,0,0,0,1
39799,63,39039,2,11,1,1,1,1,0,1,1
4900,29,18315,1,12,1,0,0,1,1,0,0
1905,51,44292,8,12,0,1,1,1,1,0,1
144498,62,50373,2,12,0,1,0,1,1,1,1
49850,43,79920,4,12,0,1,1,1,0,1,1
28000,55,37377,3,8,0,1,0,1,1,0,1
0,33,19890,1,10,0,0,0,0,0,0,0
0,26,2700,4,11,0,1,0,0,0,0,0
-450,53,21600,1,12,0,0,0,0,0,0,0
94599,63,54450,2,12,1,1,1,1,1,1,1
56053,37,55563,2,16,0,1,0,1,0,1,1
-5427,44,37740,3,12,1,1,1,0,0,0,1
550,36,33462,4,12,0,1,1,1,0,0,1
-4200,30,40974,5,15,0,1,1,1,1,0,1
3274,29,20175,2,12,0,0,0,1,1,0,1
-9300,41,32646,2,12,0,0,0,0,0,0,1
0,40,4107,2,9,0,0,0,0,0,0,0
93800,54,75876,2,14,0,1,1,0,0,1,1
52000,53,47520,4,12,0,1,0,0,0,1,1
-330,33,17745,5,12,0,1,1,0,0,1,0
-13300,38,62703,5,12,0,1,1,0,0,0,1
-3000,48,13845,2,12,0,0,0,1,1,0,1
72598,60,38361,2,13,0,1,0,0,0,1,1
-2364,53,16200,2,15,1,0,0,1,0,0,1
71569,39,39705,4,13,0,1,1,1,0,1,1
700,37,19467,3,16,0,1,0,0,0,0,0
-151,40,49209,1,12,1,0,0,0,0,0,0
-4625,58,11520,3,11,0,0,0,0,0,0,0
1770,27,29661,1,16,0,0,0,0,0,1,0
20300,50,46632,2,12,0,1,0,0,0,0,1
-2350,30,46416,1,18,1,0,0,1,1,0,1
24699,56,34803,2,14,1,1,1,1,1,1,0
11700,41,52089,4,16,0,1,1,0,0,0,1
71500,54,124020,3,18,0,1,1,1,1,1,1
23549,29,19491,1,18,0,0,0,0,0,0,0
17199,50,48042,5,12,1,1,1,1,0,0,1
30500,42,60069,4,18,0,1,0,1,1,0,1
8030,48,47637,2,13,0,0,0,0,0,1,1
20000,32,28980,1,16,0,0,0,0,0,0,0
2600,36,72900,3,15,0,1,1,1,1,0,1
61957,62,110646,2,16,1,1,0,1,1,1,1
1264,37,8268,1,12,0,0,0,0,0,0,1
1800,56,24672,1,12,0,0,0,0,0,0,0
-7500,34,13101,1,12,1,0,0,1,0,0,0
7500,40,12576,2,12,0,0,0,0,0,0,1
0,43,31254,4,12,0,1,1,0,0,0,1
35300,39,36900,3,13,0,1,0,1,1,0,1
-4900,38,18927,2,12,0,0,0,0,0,0,0
8400,39,61377,5,13,0,1,1,1,1,0,0
-5000,47,42150,4,13,0,1,0,0,0,0,1
12400,30,9225,4,15,0,1,0,1,1,1,0
114000,44,48966,4,12,0,1,1,1,1,1,1
-2550,31,12240,2,14,0,1,0,0,0,0,0
-3300,32,24564,1,12,0,0,0,1,0,0,1
-14758,47,28866,3,12,0,1,1,0,0,0,0
149,32,19659,5,11,0,1,0,0,0,0,1
11733,57,43356,2,16,0,0,0,0,0,0,1
-2800,48,6000,1,14,0,0,0,0,0,0,0
3429,28,29739,3,16,0,1,1,1,1,0,0
-3200,56,12852,2,5,0,1,0,0,0,0,0
38678,32,93954,4,16,0,1,1,0,0,1,0
190026,41,88992,2,18,0,1,1,1,1,1,1
-1200,31,21969,10,6,0,1,1,0,0,0,0
-4095,41,19413,4,12,0,0,0,0,0,0,1
2200,26,18198,2,12,1,0,0,1,1,0,0
0,25,11652,3,12,0,0,0,0,0,0,0
45155,32,59658,2,12,1,1,1,1,1,0,0
57700,38,88764,2,15,1,1,1,1,1,0,1
800,42,24600,1,12,0,0,0,0,0,0,1
-3197,37,18429,3,12,0,0,0,0,0,0,1
-1960,38,49560,4,16,1,1,1,1,0,0,1
500,27,30600,4,12,0,1,0,0,0,0,0
13300,34,19254,2,12,0,0,0,1,1,0,0
-151,59,37950,3,10,1,0,0,1,0,0,1
-3800,25,51207,2,15,0,1,1,0,0,0,0
-11300,34,50400,5,12,0,1,1,0,0,0,0
409,34,27345,5,10,0,1,0,0,0,0,1
-2745,35,36000,5,13,0,1,0,0,0,0,1
37894,48,27660,1,12,0,0,0,0,0,1,1
40,54,15594,4,15,0,0,0,0,0,0,1
128350,45,95184,5,16,0,1,1,0,0,1,1
-4100,45,27648,3,8,0,1,1,0,0,0,1
-4783,46,51426,4,13,0,1,1,1,1,0,1
237950,59,25185,1,14,0,0,0,0,0,1,1
19900,54,26760,3,14,0,1,0,0,0,1,1
3100,32,15009,4,16,0,1,0,0,0,0,0
67115,44,55833,3,14,0,1,1,1,1,1,1
181830,38,65676,3,12,1,1,1,1,1,0,1
100,27,14283,2,15,0,0,0,1,0,0,1
28057,39,36522,2,14,0,1,1,0,0,1,1
6100,31,43026,3,15,1,0,0,1,1,0,1
-270,32,42987,3,16,1,0,0,0,0,1,1
7121,49,18177,2,10,0,0,0,1,1,0,1
86872,30,51993,3,16,0,1,0,1,1,1,1
29200,61,42744,3,12,0,1,0,0,0,1,1
-1800,28,27030,1,16,0,0,0,0,0,0,0
94000,44,109095,4,17,0,1,1,1,1,0,1
249,55,15135,1,14,0,0,0,0,0,0,0
2,31,8589,4,12,0,1,0,0,0,0,0
2200,29,8379,2,12,0,0,0,0,0,0,1
75,30,25500,2,12,0,0,0,0,0,0,0
151998,57,49959,2,12,0,1,0,1,1,0,1
-3088,45,28944,3,12,0,1,0,0,0,0,0
59160,45,43131,2,18,0,1,1,0,0,1,1
-800,38,7968,4,7,0,1,0,0,0,0,0
2699,41,37917,4,12,1,1,1,1,0,0,1
1e+05,54,31512,2,12,0,0,0,0,0,1,1
-3000,38,52236,6,16,0,1,1,1,0,0,1
-1001,40,10260,6,16,0,0,0,0,0,0,1
11881,40,66573,2,16,1,1,1,1,1,1,1
31999,46,26022,2,13,1,0,0,0,0,0,1
-650,32,9069,4,13,0,0,0,0,0,0,1
-18700,47,27150,3,14,1,0,0,0,0,0,0
-19425,34,29430,2,16,0,0,0,0,0,0,0
2050,37,25920,1,18,0,0,0,0,0,0,0
-1337,45,38187,4,12,0,1,1,1,0,0,1
349,43,25872,5,12,0,1,0,0,0,0,1
10849,44,46275,2,12,0,1,1,1,1,0,1
23152,48,77523,4,18,0,1,1,1,1,0,1
-600,56,15480,4,10,0,0,0,0,0,0,0
125179,45,22953,1,12,1,0,0,1,1,1,1
22600,40,68175,5,12,1,1,1,1,1,1,1
0,34,4296,2,11,0,0,0,0,0,0,0
0,40,24687,1,18,0,0,0,0,0,0,0
20100,41,50268,1,18,1,0,0,1,1,0,0
62818,38,53925,4,18,0,1,1,0,0,1,1
-12000,32,25305,3,12,0,1,1,0,0,0,1
-801,32,34938,4,14,0,1,0,0,0,0,0
-7278,39,49140,5,12,1,1,1,1,0,0,1
33515,45,39168,2,12,0,1,1,1,1,1,1
-3165,43,17418,2,12,1,0,0,1,1,0,0
-8750,34,28032,1,12,0,0,0,0,0,0,0
47000,44,156600,3,16,0,1,1,1,1,1,1
1000,28,28554,4,15,0,1,0,0,0,0,1
-1564,49,22395,5,12,1,1,1,0,0,0,1
600,49,17874,2,12,0,0,0,0,0,0,1
19400,54,40500,2,15,0,0,0,1,1,0,1
600,37,30408,4,12,1,1,0,1,1,0,1
-9200,40,39954,3,16,0,1,1,0,0,0,0
100,30,11820,3,12,0,0,0,0,0,0,0
10010,28,25800,1,16,0,0,0,0,0,0,0
26874,32,112500,2,14,0,1,1,1,1,1,1
-750,59,21366,1,12,0,0,0,0,0,0,1
345,44,25758,3,11,0,1,0,0,0,0,1
130700,47,85968,3,14,1,1,1,1,1,1,1
93501,48,79053,2,12,0,1,0,0,0,1,1
2151,36,20310,4,16,0,1,1,0,0,1,0
3000,33,41283,4,12,0,1,0,1,1,0,1
0,46,28800,2,12,1,0,0,0,0,0,1
-2958,26,38931,3,13,0,1,1,1,1,0,0
0,53,13770,3,3,0,1,0,0,0,0,1
-7600,36,13824,1,12,0,0,0,0,0,0,0
37699,50,69870,4,12,0,1,0,1,1,1,1
53500,32,69630,1,16,0,0,0,0,0,1,1
1309,53,47919,3,12,0,1,1,1,0,0,1
17500,46,36120,3,12,0,1,0,1,0,0,1
12080,36,27000,4,12,0,1,0,1,1,0,1
64000,34,38400,3,16,0,1,0,0,0,1,1
42680,46,26100,3,14,0,0,0,0,0,1,1
18100,29,53685,7,12,0,1,1,1,1,0,1
754,35,22443,5,12,0,1,0,0,0,1,1
54500,50,27516,2,13,0,1,0,0,0,1,1
999,31,55200,3,16,0,1,1,0,0,0,1
1400,27,14895,1,17,1,0,0,1,0,0,0
4256,38,55377,4,12,0,1,1,0,0,1,1
-1425,32,24678,5,12,0,1,1,1,0,0,1
-1200,52,5742,1,12,0,0,0,0,0,0,1
2329,44,26844,2,12,1,1,1,1,0,1,1
-190,43,47400,3,18,1,0,0,0,0,0,1
8295,40,77100,4,14,0,1,1,1,1,0,1
29925,45,48720,3,12,0,1,1,1,1,0,1
0,53,12744,1,8,0,0,0,0,0,0,0
400,47,15000,6,10,0,1,1,1,1,0,1
81200,52,90900,2,18,0,0,0,1,1,0,1
-700,44,9180,4,14,0,0,0,0,0,0,1
0,27,11940,4,12,0,1,0,0,0,0,0
-25,26,18594,3,12,0,0,0,1,0,0,0
15000,45,11712,4,12,0,0,0,0,0,0,0
600,26,25737,4,10,0,1,1,0,0,1,1
-1805,26,30720,1,16,1,0,0,1,1,0,0
-170,31,12138,2,12,0,0,0,0,0,0,0
10020,35,33150,5,12,1,1,1,1,1,0,1
-710,37,10566,6,11,0,1,0,0,0,0,1
5500,30,67824,4,12,0,1,1,1,1,0,1
-750,31,31470,2,13,0,1,1,0,0,1,1
0,26,22080,3,12,1,0,0,0,0,0,0
0,31,14400,1,12,0,0,0,0,0,0,0
18850,36,52290,4,12,0,1,1,0,0,1,1
-11600,33,41925,3,14,0,1,1,0,0,0,0
-336789,55,46221,3,12,0,1,1,0,0,1,1
-1052,52,23640,2,16,0,0,0,1,1,0,0
-10430,27,47340,2,12,1,0,0,0,0,0,1
-32500,44,57306,1,13,1,0,0,1,0,0,1
200,32,21399,1,10,0,0,0,0,0,0,0
6325,35,32265,4,12,0,1,1,0,0,0,1
-1607,30,27093,4,13,0,1,1,0,0,0,1
-14160,31,16560,2,12,0,1,1,0,0,0,0
1142,27,38442,2,17,1,1,1,0,0,0,0
-451,42,27261,4,12,0,1,1,1,1,0,1
15299,50,14391,1,12,0,0,0,0,0,0,1
2000,50,29784,4,7,1,1,1,1,1,0,1
5900,40,38376,2,12,1,0,0,1,1,0,0
8000,43,54735,3,12,0,1,1,1,1,0,1
15200,29,53172,3,18,1,1,1,1,1,0,1
-7100,43,59208,4,12,0,1,1,0,0,0,1
-2482,33,36051,5,15,0,1,0,0,0,0,0
-2970,25,31698,1,17,0,0,0,0,0,0,0
3675,28,24348,3,12,1,0,0,1,1,1,0
15,31,16029,1,13,0,0,0,0,0,0,0
499,42,32418,1,13,0,0,0,1,0,0,0
-11425,27,28809,3,14,0,1,0,0,0,0,0
983000,47,179100,2,16,1,1,1,1,1,0,1
34047,33,66939,6,12,0,1,1,1,1,0,1
7249,54,88689,3,12,0,1,1,1,1,1,1
0,42,16860,1,8,0,0,0,0,0,0,1
6400,38,82995,5,15,0,1,1,1,1,1,1
200,45,14625,1,12,0,0,0,1,0,0,0
-4500,27,14430,1,12,0,0,0,1,0,0,0
11489,61,42246,2,12,1,1,1,0,0,1,1
900,41,28620,4,12,1,1,0,0,0,0,1
0,44,30600,1,14,0,0,0,0,0,0,0
7349,58,33471,3,10,0,1,0,1,1,0,1
-1501,35,43134,4,13,0,1,1,0,0,0,1
-2500,46,10404,1,12,1,0,0,1,0,0,1
16500,33,108300,4,16,0,1,1,0,0,1,1
3000,60,64419,2,18,1,1,1,1,1,0,1
36350,46,41949,1,16,1,0,0,1,1,1,1
24320,31,42336,5,14,0,1,1,0,0,0,0
-4010,35,33762,2,14,0,1,0,1,0,0,1
2075,32,58689,5,17,1,1,1,1,0,1,1
7620,27,13410,2,16,0,0,0,0,0,0,0
977,43,47946,3,12,1,1,1,1,0,0,1
0,44,18600,5,9,0,1,0,0,0,0,1
-1600,28,29922,6,11,0,1,1,0,0,0,1
-4985,48,39846,5,12,0,1,0,1,0,0,1
3300,44,20646,1,12,1,0,0,1,1,0,0
-2000,51,6240,3,10,0,0,0,0,0,0,0
-3000,57,11628,1,12,0,0,0,0,0,0,0
19375,44,108795,3,18,0,1,1,1,1,1,0
29190,34,38736,2,18,1,1,1,1,0,1,1
4124,33,16458,1,12,0,0,0,0,0,0,0
18027,44,52893,2,18,0,0,0,1,1,1,1
-1701,39,33300,4,12,0,1,1,0,0,0,1
2132,64,12171,1,12,0,0,0,0,0,1,1
-5450,28,30210,1,12,0,0,0,0,0,0,0
22300,38,47043,5,16,1,1,1,0,0,0,1
0,26,10200,1,14,0,0,0,0,0,0,0
1575,52,16644,2,10,0,1,0,1,1,0,1
-71,34,36147,4,12,1,1,1,1,1,1,1
1000,36,14460,4,12,0,1,0,0,0,0,0
-1701,54,22074,2,12,0,0,0,0,0,0,1
-2200,29,22680,6,12,0,1,0,0,0,0,0
-1500,42,28800,4,12,0,1,0,0,0,0,1
-741,28,39015,2,18,0,1,1,1,0,0,0
22700,37,54324,3,12,1,1,1,0,0,0,1
-997,60,35676,4,13,0,1,1,1,0,0,1
4000,49,48168,1,12,1,0,0,0,0,0,1
835,32,17655,1,15,0,0,0,1,1,0,1
63,27,17832,4,13,0,1,0,0,0,0,1
-5000,51,26106,2,13,1,1,1,0,0,0,1
-200,31,19056,5,12,1,1,0,0,0,0,0
300,29,5283,1,12,0,0,0,0,0,0,1
18224,43,21672,4,12,0,1,0,1,1,0,1
-1310,46,29232,1,14,1,0,0,0,0,0,0
-4331,38,24849,7,14,0,1,0,0,0,0,1
-1002,32,10164,5,12,0,0,0,0,0,0,1
41900,47,123690,2,14,0,1,1,0,0,0,1
-180,59,10788,1,10,1,0,0,0,0,0,0
208500,50,69150,4,18,1,1,1,1,1,1,1
-788,31,16020,2,13,1,0,0,0,0,0,1
-7773,47,10590,3,12,0,0,0,0,0,0,1
11800,31,26028,5,12,0,1,0,0,0,0,0
1875,29,55845,2,12,0,1,1,0,0,0,1
61283,46,45063,1,15,1,0,0,1,1,1,1
-2280,42,35280,3,12,0,1,1,0,0,0,1
9249,62,31059,2,12,0,1,0,1,0,1,1
-1136,49,21030,6,6,0,1,0,0,0,0,1
29599,51,28659,1,14,1,0,0,0,0,0,0
-8200,54,35754,3,12,1,1,1,0,0,0,1
-4575,31,25800,5,9,0,1,0,1,1,0,0
-1847,54,4917,1,11,0,0,0,0,0,0,0
-3070,34,13707,3,15,0,0,0,0,0,0,1
3200,46,36930,1,13,1,0,0,0,0,0,1
0,33,5775,1,6,0,0,0,0,0,0,0
300,60,7116,1,8,0,0,0,0,0,0,0
-47080,44,41961,4,13,0,1,0,0,0,0,0
21000,34,39210,2,17,1,0,0,0,0,1,0
-500,37,94530,3,16,0,1,0,1,0,0,1
255,38,57609,4,12,0,1,1,0,0,0,1
-2765,48,30846,1,15,1,0,0,1,1,0,1
-18294,33,15300,1,16,0,0,0,0,0,0,0
3500,60,29784,1,12,1,0,0,1,0,0,1
-2500,29,36885,4,12,0,1,1,0,0,0,1
34900,54,85860,6,16,0,1,1,1,1,1,1
-5190,45,47178,4,14,0,1,1,0,0,0,1
950,35,31626,1,16,0,0,0,1,0,0,0
0,41,13260,2,13,0,0,0,0,0,0,1
250,54,51105,3,14,1,1,1,1,1,0,1
0,28,3150,2,11,0,0,0,0,0,0,0
23198,38,55992,5,14,0,1,1,1,0,1,1
0,26,10710,1,12,0,0,0,0,0,0,0
2900,39,50064,3,13,0,1,1,0,0,0,1
11909,44,40917,5,12,0,1,0,1,1,0,1
500,32,25338,5,13,0,1,1,0,0,0,0
15599,31,31905,2,12,1,0,0,1,1,0,0
7504,44,38835,2,13,0,1,0,1,0,0,1
5200,37,24000,3,14,0,1,0,1,1,0,0
1198,53,29772,2,10,0,1,0,1,0,0,1
-248,41,14580,3,12,0,0,0,0,0,0,0
7450,34,20199,4,15,0,1,0,0,0,0,1
-22065,48,26952,6,13,0,1,0,0,0,0,1
0,43,25245,1,10,0,0,0,0,0,0,0
120700,54,31896,1,17,0,0,0,1,1,0,1
-8252,47,30663,2,17,0,0,0,0,0,0,1
92129,47,95433,5,16,0,1,0,0,0,1,1
20800,40,63678,3,12,1,1,1,1,1,0,1
22398,57,46236,3,10,0,1,0,1,0,1,1
-915,39,54066,5,17,1,1,1,0,0,0,1
45060,54,90234,2,14,0,1,1,0,0,1,1
105150,33,73308,3,12,0,1,0,1,1,1,1
-451,28,13650,5,12,0,1,1,0,0,0,1
-62,30,25437,1,12,0,0,0,0,0,0,1
1771,32,69612,4,16,1,1,1,1,1,0,1
10000,42,52434,1,14,1,0,0,1,0,0,1
175787,56,93069,2,15,0,1,1,1,1,1,1
-502302,46,21240,4,13,0,1,0,1,0,0,1
15108,55,23484,2,12,0,1,0,0,0,1,1
55471,41,104169,4,17,0,1,1,1,1,1,1
88900,61,83301,2,18,1,1,1,0,0,1,1
-14091,39,48138,4,16,0,1,1,0,0,0,1
4700,38,42135,5,12,0,1,0,1,0,1,1
5399,48,30831,4,12,0,1,1,0,0,0,1
1599,31,36201,5,14,0,1,1,1,1,1,0
22450,31,58173,2,16,0,1,1,1,0,0,1
50299,32,90729,2,18,0,1,1,1,1,1,1
2300,37,47772,3,12,0,1,1,0,0,0,1
3800,43,44934,3,12,0,1,1,0,0,0,1
3499,56,14748,1,12,0,0,0,0,0,0,1
131408,48,34290,2,16,1,1,0,1,1,1,1
9645,33,22050,2,14,0,0,0,0,0,0,0
24972,49,43920,2,12,1,0,0,1,1,0,1
0,61,40770,2,12,0,1,1,0,0,0,0
22870,35,59877,4,9,1,1,1,1,1,1,1
46669,34,86760,4,13,0,1,0,0,0,1,0
10569,64,17604,1,12,1,0,0,0,0,1,0
-4000,28,48120,3,14,0,1,1,0,0,0,0
13500,56,29301,2,16,1,0,0,0,0,0,1
-12001,25,50649,2,12,0,1,1,0,0,0,1
16700,59,27942,2,12,0,1,0,0,0,0,1
-290,40,36195,4,16,0,1,1,1,1,0,1
-470,27,27966,2,16,0,1,1,1,1,0,1
950,35,27624,5,12,0,1,0,0,0,0,1
25300,46,23985,1,12,1,0,0,1,1,1,1
72964,59,55314,1,14,0,0,0,0,0,0,0
3738,54,26520,1,12,1,0,0,0,0,0,1
5800,26,61410,2,13,1,1,1,1,1,0,1
99789,61,66528,2,12,0,1,0,0,0,1,1
-1100,27,6030,3,14,0,0,0,0,0,0,0
-600,27,32436,4,12,0,1,1,0,0,0,1
7499,55,-2652,4,12,0,0,0,0,0,0,1
24999,49,63396,3,16,0,1,0,0,0,0,1
11234,54,8580,1,10,0,0,0,0,0,0,1
96600,44,127200,2,18,1,1,1,0,0,1,1
100,26,24309,3,12,0,1,0,0,0,0,0
0,46,43200,1,12,0,0,0,0,0,0,0
167000,44,64170,4,12,0,1,1,1,1,0,1
17300,61,58680,2,12,1,1,1,0,0,1,1
626,28,38400,2,12,0,1,1,0,0,0,1
-200,49,8535,1,10,0,0,0,0,0,0,0
-15900,28,29604,3,12,0,0,0,0,0,0,0
-9940,39,24576,3,12,0,0,0,0,0,0,0
33700,47,38946,4,12,0,1,1,0,0,1,1
54624,43,25908,3,13,1,0,0,0,0,0,1
-7000,36,25266,1,12,0,0,0,0,0,0,0
0,57,9417,4,7,0,0,0,0,0,0,0
-5551,32,24666,3,13,0,0,0,0,0,0,1
28649,60,28875,3,12,0,0,0,0,0,0,1
2000,41,82200,4,12,1,1,1,0,0,0,1
399,61,19557,4,12,1,0,0,0,0,0,0
89600,39,93924,4,12,0,1,1,1,1,0,1
39950,51,95178,3,14,0,1,1,1,1,1,1
3178,34,17337,4,9,0,1,0,0,0,0,1
8000,57,12555,1,12,0,0,0,0,0,0,0
-9151,45,114048,4,12,0,1,1,0,0,0,1
-2200,35,25215,2,12,0,1,1,0,0,0,1
499,47,49206,4,16,0,1,1,0,0,0,1
14970,59,67104,4,18,0,1,1,1,0,1,1
68,28,7779,1,13,0,0,0,0,0,0,0
49,38,39420,4,14,0,1,1,0,0,0,1
-200,32,42024,5,16,1,1,1,1,1,0,0
12350,58,71646,2,14,0,1,1,0,0,1,1
-1479,38,19497,2,11,0,1,0,0,0,0,0
-1,35,21630,5,11,1,0,0,0,0,0,0
950,27,34704,5,14,0,1,1,0,0,0,1
